time,UnbiasedBD,Steered,Coupled,TAMD,Hot
2310.00000,-5.48510,-3.85249,-4.47043,-6.26668,3445.26114
2320.00000,-5.24950,-4.99687,-4.58023,-6.67962,3462.49892
2330.00000,-4.52818,-3.99868,-4.13542,-6.22796,3475.45445
2340.00000,-5.64329,-4.81731,-3.82357,-6.38796,3492.49980
2350.00000,-4.71634,-4.50413,-4.94238,-6.49138,3510.19569
2360.00000,-4.27667,-4.78158,-4.63198,-5.92381,3521.94926
2370.00000,-4.92026,-5.20447,-3.55279,-5.95508,3536.43397
2380.00000,-5.24554,-4.78169,-4.01279,-4.94331,3546.93764
2390.00000,-5.47852,-4.75929,-4.71028,-5.09315,3550.33718
2400.00000,-5.67053,-4.05099,-5.05136,-4.92440,3548.20318
2410.00000,-5.16287,-4.71646,-4.43803,-4.52487,3542.77487
2420.00000,-5.41009,-4.81036,-4.54847,-4.18708,3537.38775
2430.00000,-4.85911,-5.13436,-3.17962,-4.04885,3533.12769
2440.00000,-5.10751,-4.94041,-4.54365,-4.01462,3527.41573
2450.00000,-5.10771,-4.57603,-3.49529,-3.97176,3528.20262
2460.00000,-5.33010,-2.95380,-4.50071,-5.79563,3530.73757
2470.00000,-5.28707,-3.85848,-4.52759,-4.76807,3533.94671
2480.00000,-4.62240,-4.38742,-3.83626,-4.40594,3527.60306
2490.00000,-5.85053,-4.89359,-4.15806,-4.11409,3523.62179
2500.00000,-4.98355,-4.28765,-3.48681,-4.99051,3521.77985
2510.00000,-4.95674,-4.48680,-4.56440,-4.51599,3514.89005
2520.00000,-5.04409,-5.07981,-4.73872,-4.81159,3509.21137
2530.00000,-4.63208,-5.04736,-4.60562,-4.87515,3503.45213
2540.00000,-5.03482,-4.23430,-4.67769,-3.59980,3503.56632
2550.00000,-5.29734,-4.97840,-4.82499,-3.61392,3496.03026
2560.00000,-5.89129,-4.60075,-3.84358,-5.13394,3495.82475
2570.00000,-4.81964,-5.66720,-3.67728,-5.33796,3497.19838
2580.00000,-4.53740,-4.63455,-3.99692,-4.95668,3495.89750
2590.00000,-4.91889,-4.52337,-4.35196,-4.82789,3492.13367
2600.00000,-4.69358,-4.27319,-4.40639,-2.60308,3485.63443
2610.00000,-5.04406,-5.20507,-3.81843,-2.78384,3476.52047
2620.00000,-5.32307,-3.45507,-4.01121,-2.47527,3466.51693
2630.00000,-5.07770,-4.57583,-4.36766,-2.32543,3459.19499
2640.00000,-5.51950,-4.71367,-4.25657,-2.91041,3451.53425
2650.00000,-5.25141,-4.86604,-5.07481,-0.67654,3446.32453
2660.00000,-4.35007,-5.13655,-4.24549,-2.62112,3439.70100
2670.00000,-5.33863,-4.65808,-4.70948,-3.37641,3429.72872
2680.00000,-4.76936,-4.07441,-4.36870,-4.35891,3421.95163
2690.00000,-4.91682,-4.69635,-4.84114,-3.95601,3416.07507
2700.00000,-5.12829,-4.46264,-3.58882,-3.89509,3412.00196
2710.00000,-5.47988,-3.94791,-4.38081,-3.18313,3406.27630
2720.00000,-5.07757,-4.60746,-4.53781,-4.30076,3399.19264
2730.00000,-5.14192,-4.43186,-4.65144,-3.52456,3395.11458
2740.00000,-5.03601,-5.05367,-3.17713,-3.90236,3384.63300
2750.00000,-4.34301,-4.56157,-3.80540,-3.76892,3376.66249
2760.00000,-5.02027,-3.69519,-2.96779,-1.35280,3368.96256
2770.00000,-5.30557,-3.56310,-4.11273,-1.40595,3361.16935
2780.00000,-4.72273,-4.78083,-5.17914,-1.63474,3354.96940
2790.00000,-4.30101,-4.13441,-4.51690,-0.69846,3348.79988
2800.00000,-4.52043,-4.53299,-3.98293,-0.21266,3347.97270
2810.00000,-5.77087,-5.43982,-4.53159,0.08863,3345.82025
2820.00000,-4.53175,-4.11123,-4.23580,1.79455,3347.08063
2830.00000,-5.23474,-4.66764,-3.63158,1.09789,3352.84136
2840.00000,-5.64509,-4.28541,-5.15998,-1.10026,3354.92190
2850.00000,-4.97283,-4.33214,-3.94119,-2.43796,3352.56339
2860.00000,-4.57090,-4.56670,-3.75519,-1.84717,3347.99014
2870.00000,-4.77379,-4.77851,-3.92207,-0.69455,3347.80730
2880.00000,-5.29679,-5.05696,-4.08541,-1.84559,3342.32864
2890.00000,-4.53292,-4.66931,-3.55867,-4.15408,3337.06144
2900.00000,-4.24861,-4.19503,-4.94239,-4.28435,3330.45430
2910.00000,-5.46037,-4.66671,-3.74008,-4.48066,3323.98529
2920.00000,-4.99931,-4.30282,-3.69338,-3.91420,3318.29749
2930.00000,-4.87642,-4.82014,-3.26248,-2.17801,3312.31719
2940.00000,-5.68338,-4.60808,-3.89765,-2.20547,3306.57949
2950.00000,-4.34272,-3.94367,-4.85173,0.47719,3302.34485
2960.00000,-4.97038,-3.90669,-3.41699,0.00533,3306.49945
2970.00000,-5.20787,-3.67620,-3.30134,0.71862,3306.22619
2980.00000,-4.71701,-3.93008,-3.74055,0.60301,3310.73473
2990.00000,-4.69688,-4.60095,-3.45762,-0.64903,3309.31686
3000.00000,-4.53808,-4.94406,-4.89491,-0.07537,3310.46089
3010.00000,-4.90235,-3.83632,-3.89445,0.75498,3311.26782
3020.00000,-5.13049,-3.73479,-4.33288,0.40209,3313.58644
3030.00000,-4.94314,-5.34129,-4.17909,-0.03886,3311.94646
3040.00000,-4.64212,-3.68915,-2.73778,1.16392,3312.57535
3050.00000,-4.35510,-4.44638,-4.89441,1.71936,3319.56488
3060.00000,-4.84671,-5.08305,-5.04370,2.28697,3322.43574
3070.00000,-5.54034,-4.91869,-3.12358,0.66891,3328.86459
3080.00000,-5.69261,-4.41129,-3.79286,-0.06787,3331.80823
3090.00000,-5.12400,-4.34739,-3.79388,-1.46011,3326.11627
3100.00000,-4.36501,-3.86390,-5.38335,-2.09933,3320.52256
3110.00000,-5.34448,-3.92192,-4.98507,0.02267,3318.68695
3120.00000,-5.06253,-4.58311,-5.08059,-1.27195,3319.74849
3130.00000,-5.39510,-4.54861,-5.21291,-4.07500,3312.99909
3140.00000,-5.48849,-4.97874,-4.37328,-2.00725,3308.03247
3150.00000,-5.79063,-3.69134,-2.18310,-4.84459,3298.24025
3160.00000,-3.79227,-4.21077,-3.01607,-5.13773,3301.35191
3170.00000,-4.83567,-4.54709,-3.07965,-5.71414,3303.04299
3180.00000,-4.61084,-4.65611,-3.56108,-5.63292,3303.71630
3190.00000,-3.93951,-4.47380,-2.35280,-4.67102,3304.21504
3200.00000,-6.23512,-4.86771,-2.73339,-3.72496,3298.83455
3210.00000,-5.63582,-4.00308,-4.16997,-3.71406,3290.66860
3220.00000,-4.38129,-4.66104,-3.88548,-2.00438,3284.38786
3230.00000,-4.84108,-4.94875,-4.12014,-3.24298,3279.07878
3240.00000,-4.28998,-4.33345,-3.40764,-2.00149,3274.27616
3250.00000,-5.13560,-4.24914,-4.73654,-1.80666,3269.88447
3260.00000,-4.74465,-4.21293,-4.74212,-0.34536,3271.82519
3270.00000,-4.59984,-4.26765,-3.09285,1.52820,3276.22212
3280.00000,-4.60846,-4.27711,-5.00496,2.90535,3281.32608
3290.00000,-3.96111,-5.01943,-4.00704,2.38537,3286.41464
3300.00000,-5.25689,-4.19149,-3.68953,1.28008,3290.88108
3310.00000,-3.97826,-4.63947,-3.58753,2.12468,3293.06181
3320.00000,-4.46923,-4.33176,-4.00484,1.07542,3294.93655
3330.00000,-4.34671,-4.09694,-3.65680,1.16250,3299.21914
3340.00000,-6.01613,-3.56173,-4.04791,1.07801,3304.68939
3350.00000,-4.33993,-4.13575,-3.90000,2.08886,3309.77163
3360.00000,-4.65280,-4.94242,-4.65940,1.86693,3319.93839
3370.00000,-4.68272,-4.76500,-4.07727,1.94412,3325.26118
3380.00000,-5.35030,-4.86534,-4.53749,1.11554,3331.81161
3390.00000,-5.27182,-4.49610,-3.86373,2.25021,3339.00085
3400.00000,-5.09097,-4.42641,-4.47572,2.42377,3347.89667
3410.00000,-4.52839,-4.71692,-4.25580,3.74615,3356.16988
3420.00000,-5.37048,-4.43750,-4.08657,4.76636,3362.83332
3430.00000,-5.53292,-4.82094,-4.05834,4.18852,3368.37063
3440.00000,-4.24320,-4.26603,-3.26958,3.90868,3377.11370
3450.00000,-4.75422,-5.36683,-3.90087,3.20220,3383.76826
3460.00000,-5.23651,-4.69298,-2.75608,3.13896,3390.59882
3470.00000,-4.43659,-4.74374,-3.18849,3.92640,3399.19556
3480.00000,-4.62410,-4.71794,-2.54151,4.43321,3404.77408
3490.00000,-5.71670,-4.47743,-4.35477,3.21316,3412.12518
3500.00000,-5.33390,-5.05732,-3.86791,4.07216,3419.34853
3510.00000,-4.44940,-4.64500,-4.02164,4.88691,3427.27460
3520.00000,-4.94638,-4.47347,-4.54329,4.30274,3430.88282
3530.00000,-4.92301,-4.69518,-3.27703,4.05594,3435.53113
3540.00000,-4.61216,-4.94029,-3.08741,4.09617,3439.35969
3550.00000,-5.32327,-3.99410,-3.33333,3.38483,3448.30563
3560.00000,-5.22273,-4.14801,5.21124,3.47487,3458.21549
3570.00000,-5.01866,-4.76734,5.24669,4.18633,3463.02370
3580.00000,-5.13223,-4.92740,4.57631,5.04126,3464.39544
3590.00000,-4.28308,-4.01012,5.01750,3.94043,3466.13114
3600.00000,-4.25370,-5.05656,5.13216,3.99817,3473.91639
3610.00000,-5.32667,-4.45106,4.06280,3.89211,3478.01764
3620.00000,-4.85311,-4.68669,5.17304,4.14542,3485.27058
3630.00000,-5.66241,-4.25557,5.14633,3.78674,3489.60288
3640.00000,-5.24826,-3.87995,4.18812,4.66348,3495.37854
3650.00000,-4.00694,-4.67616,5.01798,5.93636,3492.09930
3660.00000,-6.12607,-4.62040,5.08508,5.67387,3487.25389
3670.00000,-4.88947,-4.69538,5.34566,6.21163,3479.79797
3680.00000,-4.31055,-4.59651,5.47722,4.95659,3474.97602
3690.00000,-5.06915,-4.00725,4.86658,4.17060,3480.21228
3700.00000,-4.54191,-3.67381,4.69006,4.99836,3486.20433
3710.00000,-4.82803,-4.57095,5.52071,6.00007,3487.67137
3720.00000,-5.04220,-4.39060,4.89377,5.24672,3483.54878
3730.00000,-5.54373,-4.60188,4.57976,5.27077,3476.57364
3740.00000,-5.28231,-5.02932,4.13734,6.06219,3466.36870
3750.00000,-5.70310,-3.81378,5.89517,6.11462,3456.30553
3760.00000,-4.59037,-4.38376,5.47202,6.52447,3438.66049
3770.00000,-4.98661,-4.59968,4.47753,8.08897,3415.08040
3780.00000,-4.17447,-4.60041,5.08434,7.50838,3379.86697
3790.00000,-5.74590,-4.88584,5.01737,7.63673,3342.54634
3800.00000,-4.82893,-4.51599,5.23083,8.35363,3295.66866
3810.00000,-4.43937,-4.04272,4.37876,7.33390,3250.13587
3820.00000,-4.63642,-4.28635,5.38131,7.49060,3219.09809
3830.00000,-4.92998,-3.55180,4.59212,7.28339,3185.66523
3840.00000,-4.09820,-4.72897,4.35293,7.67729,3146.93450
3850.00000,-5.00964,-4.28753,5.09159,7.94514,3109.36883
3860.00000,-5.82509,-4.05935,4.58386,7.47649,3075.15420
3870.00000,-4.44915,-4.42039,4.87652,7.54875,3051.57413
3880.00000,-5.52836,-3.58813,4.69302,7.99099,3019.60936
3890.00000,-4.75148,-4.96825,5.41150,7.29461,2980.94334
3900.00000,-5.46721,-4.01438,5.26632,7.67088,2939.84435
3910.00000,-4.54530,-5.31772,5.40150,7.64677,2897.67994
