time,unbiased,steered,coupled,TAMD
17.80000,-4.89847,-5.58269,-4.75233,-5.37048
17.90000,-4.58309,-5.74259,-4.56931,-5.34943
18.00000,-4.60459,-5.75469,-4.79568,-5.49280
18.10000,-4.40398,-5.36031,-4.73826,-5.64583
18.20000,-4.49689,-5.39919,-4.93067,-5.59632
18.30000,-4.12912,-5.37754,-5.14093,-5.55528
18.40000,-4.45373,-5.03350,-4.97382,-5.63349
18.50000,-4.48564,-4.94039,-5.25656,-5.75139
18.60000,-4.47068,-4.98950,-5.30845,-5.69857
18.70000,-4.51424,-5.15991,-5.21861,-5.83433
18.80000,-4.51058,-4.93670,-5.44189,-5.59397
18.90000,-4.91416,-4.90020,-5.58422,-5.99781
19.00000,-4.91862,-4.70837,-5.22999,-5.53992
19.10000,-5.00811,-4.82721,-5.62041,-5.50215
19.20000,-5.37001,-4.41186,-5.48480,-5.40457
19.30000,-5.32826,-4.02257,-5.41126,-5.41920
19.40000,-5.06711,-4.22177,-5.38107,-5.30354
19.50000,-5.00686,-4.32699,-5.27772,-5.58401
19.60000,-5.11227,-4.34155,-5.33807,-5.65602
19.70000,-5.11824,-4.35854,-5.31593,-5.69230
19.80000,-5.22999,-4.46262,-4.90943,-5.36239
19.90000,-5.06450,-4.55135,-4.81360,-5.17880
20.00000,-4.88431,-4.63452,-5.05122,-5.29928
20.10000,-4.78624,-4.35835,-5.00873,-5.14160
20.20000,-4.94376,-4.56323,-4.91914,-5.53031
20.30000,-4.92544,-4.31029,-5.12839,-5.29172
20.40000,-5.00897,-4.55774,-5.13353,-5.23580
20.50000,-4.86812,-4.56886,-5.12912,-5.35556
20.60000,-4.68491,-4.94899,-5.32834,-5.68667
20.70000,-4.71131,-5.07397,-5.00412,-5.34636
20.80000,-4.95890,-5.21367,-5.05691,-4.98510
20.90000,-5.10740,-5.12521,-4.99776,-4.86963
21.00000,-5.01556,-5.03046,-4.96924,-5.08168
21.10000,-5.22558,-4.85559,-4.89011,-4.76342
21.20000,-5.16370,-4.33293,-5.11905,-5.10145
21.30000,-5.55477,-3.99037,-5.01091,-5.01849
21.40000,-5.29607,-4.18965,-4.91604,-4.77953
21.50000,-5.02884,-4.03633,-4.94246,-5.09614
21.60000,-4.82942,-4.30941,-4.84626,-5.29691
21.70000,-4.88538,-4.10002,-4.91133,-5.48297
21.80000,-5.19175,-4.17842,-4.87946,-5.80263
21.90000,-4.93810,-4.18854,-4.76198,-5.84227
22.00000,-5.03730,-4.31532,-4.46799,-5.78923
22.10000,-5.10079,-4.42068,-4.23337,-5.89941
22.20000,-5.48005,-4.50610,-4.11456,-5.92213
22.30000,-5.77792,-4.36043,-4.29638,-5.89033
22.40000,-5.77378,-4.27590,-4.28759,-5.64195
22.50000,-5.81486,-4.34070,-4.43271,-5.37219
22.60000,-5.86713,-4.05669,-4.27387,-5.53106
22.70000,-5.68439,-4.25769,-4.28850,-5.59541
22.80000,-5.75802,-4.41138,-4.38583,-5.46158
22.90000,-5.66692,-4.60049,-4.41857,-5.61932
23.00000,-5.58621,-4.69417,-4.49443,-5.63231
23.10000,-5.88552,-4.83922,-4.63021,-5.61661
23.20000,-5.84857,-4.75639,-4.33699,-5.42696
23.30000,-5.73525,-4.85409,-4.21930,-5.37577
23.40000,-5.91684,-4.91532,-4.56189,-5.23670
23.50000,-5.76779,-4.74964,-4.60267,-5.43334
23.60000,-5.68702,-4.64701,-4.43583,-5.79443
23.70000,-5.69321,-4.58536,-4.55083,-5.55092
23.80000,-5.38678,-4.71522,-4.40215,-5.89091
23.90000,-5.32256,-4.68929,-4.77547,-5.89873
24.00000,-5.22181,-4.68493,-4.71061,-5.55664
24.10000,-5.39017,-4.83537,-4.74744,-5.49152
24.20000,-5.40218,-4.58450,-4.85279,-5.31228
24.30000,-5.56108,-4.85234,-4.64449,-5.31946
24.40000,-5.42303,-4.86693,-4.75452,-5.22236
24.50000,-5.50839,-4.75805,-4.88657,-5.24363
24.60000,-5.18715,-4.54689,-5.05515,-5.35822
24.70000,-5.14585,-4.42294,-5.30860,-5.66740
24.80000,-5.23822,-4.44746,-5.68715,-5.54342
24.90000,-5.47530,-4.50359,-5.56004,-5.18250
25.00000,-5.37845,-4.45770,-5.26491,-5.06877
25.10000,-5.60173,-4.43498,-5.22393,-5.10327
25.20000,-5.26993,-4.36891,-5.24185,-4.98060
25.30000,-4.91652,-4.24126,-5.43073,-4.97945
25.40000,-5.18389,-4.49934,-5.26135,-4.90863
25.50000,-5.32900,-4.77577,-5.26682,-4.92855
25.60000,-4.94325,-4.97871,-5.25713,-5.15803
25.70000,-5.05509,-4.99263,-5.38494,-4.95209
25.80000,-4.81051,-4.71698,-5.24427,-5.32950
25.90000,-4.65454,-5.11142,-5.36067,-5.53411
26.00000,-4.81570,-4.97823,-5.32361,-5.56411
26.10000,-4.79772,-4.83264,-5.16327,-5.44532
26.20000,-4.86591,-4.80818,-5.33948,-5.66705
26.30000,-4.87626,-4.67003,-5.58792,-5.73604
26.40000,-5.07554,-4.71234,-5.34034,-5.99927
26.50000,-5.14608,-4.72524,-5.21130,-5.95976
26.60000,-5.20028,-4.70213,-5.32476,-5.94717
26.70000,-5.18127,-4.55147,-5.65280,-5.77398
26.80000,-5.00582,-4.63041,-5.57741,-5.75686
26.90000,-5.06752,-4.51600,-5.31796,-5.88578
27.00000,-4.90576,-4.46765,-5.34192,-6.13750
